0:00:00:00 Starting a new session
0:00:00:00 Loaded a total of 6 password hashes with 6 different salts
0:00:00:00 Remaining 6 password hashes with 6 different salts
0:00:00:00 - Hash type: Traditional DES (lengths up to 8, longer passwords split)
0:00:00:00 - Algorithm: 24/32 4K
0:00:00:00 - Candidate passwords will be buffered and tried in chunks of 128
0:00:00:00 Proceeding with "single crack" mode
0:00:00:00 - 956 preprocessed word mangling rules
0:00:00:00 - Allocated 6 buffers of 64 candidate passwords each
0:00:00:00 - Rule #1: ':' accepted as ''
0:00:00:00 - Rule #2: '-s x**' rejected
0:00:00:00 - Rule #3: '-c (?acQ' accepted as '(?acQ'
0:00:00:00 - Rule #4: '-c lQ' accepted as 'lQ'
0:00:00:00 - Rule #5: '-s-c x**MlQ' rejected
0:00:00:00 - Rule #461: '1<-(?ac$ 2l' accepted
0:00:00:00 - Rule #462: '1<-(?ac$_2l' accepted
0:00:00:00 - Rule #463: '1<-(?ac$-2l' accepted
0:00:00:00 - Rule #464: '1<-l$ 2(?ac' accepted
0:00:00:00 - Rule #465: '1<-l$_2(?ac' accepted
0:00:00:00 - Rule #466: '1<-l$-2(?ac' accepted
0:00:00:00 - Rule #467: '1<-(?ac$ 2(?ac' accepted
0:00:00:00 - Rule #468: '1<-(?ac$_2(?ac' accepted
0:00:00:00 - Rule #469: '1<-(?ac$-2(?ac' accepted
0:00:00:00 - Rule #470: '1u2l' accepted
0:00:00:00 - Rule #471: '1r2l' accepted
0:00:00:00 - Rule #472: '2(?ac1u' accepted
0:00:00:00 - Rule #473: '2(?ac1r' accepted
0:00:00:00 - Rule #474: '1l2u' accepted
0:00:00:00 - Rule #475: '1l2r' accepted
0:00:00:00 - Rule #476: '1(?ac2u' accepted
0:00:00:00 - Rule #477: '1(?ac2r' accepted
0:00:00:00 - Rule #478: '(?al{' accepted
0:00:00:00 - Rule #479: '(?al}' accepted
0:00:00:00 - Rule #480: '(?ac{' accepted
0:00:00:00 - Rule #481: '(?ac}' accepted
0:00:00:00 - Rule #482: '(?al}}' accepted
0:00:00:00 - Rule #483: '(?ac}}' accepted
0:00:00:00 - Rule #484: '(?al{{' accepted
0:00:00:00 - Rule #485: '(?ac{{' accepted
0:00:00:00 - Rule #486: 'T1Q' accepted
0:00:00:00 - Rule #487: 'T2Q' accepted
0:00:00:00 - Rule #488: 'T3Q' accepted
0:00:00:00 - Rule #489: 'T4Q' accepted
0:00:00:00 - Rule #490: 'T5Q' accepted
0:00:00:00 - Rule #491: 'T6Q' accepted
0:00:00:00 - Rule #492: 'T7Q' accepted
0:00:00:00 - Rule #493: 'lMT1Q' accepted
0:00:00:00 - Rule #494: 'lMT2Q' accepted
0:00:00:00 - Rule #495: 'lMT3Q' accepted
0:00:00:00 - Rule #496: 'lMT4Q' accepted
0:00:00:00 - Rule #497: 'lMT5Q' accepted
0:00:00:00 - Rule #498: 'lMT6Q' accepted
0:00:00:00 - Rule #499: 'lMT7Q' accepted
0:00:00:00 - Rule #500: '>2lMT0T2T4T6T8Q' accepted
0:00:00:00 - Rule #501: '>2uMT0T2T4T6T8Q' accepted
0:00:00:00 - Rule #502: 'D1Q' accepted
0:00:00:00 - Rule #503: 'D2Q' accepted
0:00:00:00 - Rule #504: 'D3Q' accepted
0:00:00:00 - Rule #505: 'D4Q' accepted
0:00:00:00 - Oldest still in use is now rule #504
0:00:00:00 - Rule #506: 'D5Q' accepted
0:00:00:00 - Rule #507: 'D6Q' accepted
0:00:00:00 - Rule #508: 'D7Q' accepted
0:00:00:00 - Rule #509: 'D1Q/?ul' accepted
0:00:00:00 - Rule #510: 'D2Q/?ul' accepted
0:00:00:00 - Rule #511: 'D3Q/?ul' accepted
0:00:00:00 - Rule #512: 'D4Q/?ul' accepted
0:00:00:00 - Rule #513: 'D5Q/?ul' accepted
0:00:00:00 - Rule #514: 'D6Q/?ul' accepted
0:00:00:00 - Rule #515: 'D7Q/?ul' accepted
0:00:00:00 - Rule #516: 'D1Q(?ac' accepted
0:00:00:00 - Rule #517: 'D2Q(?ac' accepted
0:00:00:00 - Rule #518: 'D3Q(?ac' accepted
0:00:00:00 - Rule #519: 'D4Q(?ac' accepted
0:00:00:00 - Rule #520: 'D5Q(?ac' accepted
0:00:00:00 - Rule #521: 'D6Q(?ac' accepted
0:00:00:00 - Rule #522: 'D7Q(?ac' accepted
0:00:00:00 - Rule #523: '>3(?ali1.' accepted
0:00:00:00 - Rule #524: '>3(?ali2.' accepted
0:00:00:00 - Rule #525: '>3(?aci1.' accepted
0:00:00:00 - Rule #526: '>3(?aci2.' accepted
0:00:00:00 - Rule #527: '<-l$1$0' accepted
0:00:00:00 - Rule #528: '<-l$1$1' accepted
0:00:00:00 - Rule #529: '<-l$1$2' accepted
0:00:00:00 - Rule #530: '<-l$1$3' accepted
0:00:00:00 - Rule #531: '<-l$1$4' accepted
0:00:00:00 - Rule #532: '<-l$1$5' accepted
0:00:00:00 - Rule #533: '<-l$1$6' accepted
0:00:00:00 - Rule #534: '<-l$1$7' accepted
0:00:00:00 - Rule #535: '<-l$1$8' accepted
0:00:00:00 - Rule #536: '<-l$1$9' accepted
0:00:00:00 - Rule #537: '<-l$9$0' accepted
0:00:00:00 - Rule #538: '<-l$9$1' accepted
0:00:00:00 - Rule #539: '<-l$9$2' accepted
0:00:00:00 - Rule #540: '<-l$9$3' accepted
0:00:00:00 - Rule #541: '<-l$9$4' accepted
0:00:00:00 - Oldest still in use is now rule #540
0:00:00:00 - Rule #542: '<-l$9$5' accepted
0:00:00:00 - Rule #543: '<-l$9$6' accepted
0:00:00:00 - Rule #544: '<-l$9$7' accepted
0:00:00:00 - Rule #545: '<-l$9$8' accepted
0:00:00:00 - Rule #546: '<-l$9$9' accepted
0:00:00:00 - Rule #547: '<-l$0$0' accepted
0:00:00:00 - Rule #548: '<-l$0$1' accepted
0:00:00:00 - Rule #549: '<-l$0$2' accepted
0:00:00:00 - Rule #550: '<-l$0$3' accepted
0:00:00:00 - Rule #551: '<-l$0$4' accepted
0:00:00:00 - Rule #552: '<-l$0$5' accepted
0:00:00:00 - Rule #553: '<-l$0$6' accepted
0:00:00:00 - Rule #554: '<-l$0$7' accepted
0:00:00:00 - Rule #555: '<-l$0$8' accepted
0:00:00:00 - Rule #556: '<-l$0$9' accepted
0:00:00:00 - Rule #557: '<-(?ac$1$0' accepted
0:00:00:00 - Rule #558: '<-(?ac$1$1' accepted
0:00:00:00 - Rule #559: '<-(?ac$1$2' accepted
0:00:00:00 - Rule #560: '<-(?ac$1$3' accepted
0:00:00:00 - Rule #561: '<-(?ac$1$4' accepted
0:00:00:00 - Rule #562: '<-(?ac$1$5' accepted
0:00:00:00 - Rule #563: '<-(?ac$1$6' accepted
0:00:00:00 - Rule #564: '<-(?ac$1$7' accepted
0:00:00:00 - Oldest still in use is now rule #563
0:00:00:00 - Rule #565: '<-(?ac$1$8' accepted
0:00:00:00 - Rule #566: '<-(?ac$1$9' accepted
0:00:00:00 - Rule #567: '<-(?ac$9$0' accepted
0:00:00:00 - Rule #568: '<-(?ac$9$1' accepted
0:00:00:00 - Rule #569: '<-(?ac$9$2' accepted
0:00:00:00 - Rule #570: '<-(?ac$9$3' accepted
0:00:00:00 - Rule #571: '<-(?ac$9$4' accepted
0:00:00:00 - Rule #572: '<-(?ac$9$5' accepted
0:00:00:00 - Rule #573: '<-(?ac$9$6' accepted
0:00:00:00 - Rule #574: '<-(?ac$9$7' accepted
0:00:00:00 - Rule #575: '<-(?ac$9$8' accepted
0:00:00:00 - Rule #576: '<-(?ac$9$9' accepted
0:00:00:00 - Rule #577: '<-(?ac$0$0' accepted
0:00:00:00 - Rule #578: '<-(?ac$0$1' accepted
0:00:00:00 - Rule #579: '<-(?ac$0$2' accepted
0:00:00:00 - Rule #580: '<-(?ac$0$3' accepted
0:00:00:00 - Rule #581: '<-(?ac$0$4' accepted
0:00:00:00 - Rule #582: '<-(?ac$0$5' accepted
0:00:00:00 - Rule #583: '<-(?ac$0$6' accepted
0:00:00:00 - Rule #584: '<-(?ac$0$7' accepted
0:00:00:00 - Rule #585: '<-(?ac$0$8' accepted
0:00:00:00 - Rule #586: '<-(?ac$0$9' accepted
0:00:00:00 - Rule #587: '<-l$7$0' accepted
0:00:00:00 - Rule #588: '<-l$7$1' accepted
0:00:00:00 - Rule #589: '<-l$7$2' accepted
0:00:00:00 - Rule #590: '<-l$7$3' accepted
0:00:00:00 - Rule #591: '<-l$7$4' accepted
0:00:00:00 - Rule #592: '<-l$7$5' accepted
0:00:00:00 - Rule #593: '<-l$7$6' accepted
0:00:00:00 - Oldest still in use is now rule #592
0:00:00:00 - Rule #594: '<-l$7$7' accepted
0:00:00:00 - Rule #595: '<-l$7$8' accepted
0:00:00:00 - Rule #596: '<-l$7$9' accepted
0:00:00:00 - Rule #597: '<-l$8$0' accepted
0:00:00:00 - Rule #598: '<-l$8$1' accepted
0:00:00:00 - Rule #599: '<-l$8$2' accepted
0:00:00:00 - Rule #600: '<-l$8$3' accepted
0:00:00:00 - Rule #601: '<-l$8$4' accepted
0:00:00:00 - Rule #602: '<-l$8$5' accepted
0:00:00:00 - Rule #603: '<-l$8$6' accepted
0:00:00:00 - Rule #604: '<-l$8$7' accepted
0:00:00:00 - Rule #605: '<-l$8$8' accepted
0:00:00:00 - Rule #606: '<-l$8$9' accepted
0:00:00:00 - Rule #607: '<-l$2$0' accepted
0:00:00:00 - Rule #608: '<-l$2$1' accepted
0:00:00:00 - Rule #609: '<-l$2$2' accepted
0:00:00:00 - Rule #610: '<-l$2$3' accepted
0:00:00:00 - Rule #611: '<-l$2$4' accepted
0:00:00:00 - Rule #612: '<-l$2$5' accepted
0:00:00:00 - Rule #613: '<-l$2$6' accepted
0:00:00:00 - Rule #614: '<-l$2$7' accepted
0:00:00:00 - Rule #615: '<-l$2$8' accepted
0:00:00:00 - Oldest still in use is now rule #614
0:00:00:00 - Rule #616: '<-l$2$9' accepted
0:00:00:00 - Rule #617: '<-(?ac$7$0' accepted
0:00:00:00 - Rule #618: '<-(?ac$7$1' accepted
0:00:00:00 - Rule #619: '<-(?ac$7$2' accepted
0:00:00:00 - Rule #620: '<-(?ac$7$3' accepted
0:00:00:00 - Rule #621: '<-(?ac$7$4' accepted
0:00:00:00 - Rule #622: '<-(?ac$7$5' accepted
0:00:00:00 - Rule #623: '<-(?ac$7$6' accepted
0:00:00:00 - Rule #624: '<-(?ac$7$7' accepted
0:00:00:00 - Rule #625: '<-(?ac$7$8' accepted
0:00:00:00 - Rule #626: '<-(?ac$7$9' accepted
0:00:00:00 - Rule #627: '<-(?ac$8$0' accepted
0:00:00:00 - Rule #628: '<-(?ac$8$1' accepted
0:00:00:00 - Rule #629: '<-(?ac$8$2' accepted
0:00:00:00 - Rule #630: '<-(?ac$8$3' accepted
0:00:00:00 - Rule #631: '<-(?ac$8$4' accepted
0:00:00:00 - Rule #632: '<-(?ac$8$5' accepted
0:00:00:00 - Rule #633: '<-(?ac$8$6' accepted
0:00:00:00 - Rule #634: '<-(?ac$8$7' accepted
0:00:00:00 - Rule #635: '<-(?ac$8$8' accepted
0:00:00:00 - Rule #636: '<-(?ac$8$9' accepted
0:00:00:00 - Rule #637: '<-(?ac$2$0' accepted
0:00:00:00 - Rule #638: '<-(?ac$2$1' accepted
0:00:00:00 - Rule #639: '<-(?ac$2$2' accepted
0:00:00:00 - Rule #640: '<-(?ac$2$3' accepted
0:00:00:00 - Rule #641: '<-(?ac$2$4' accepted
0:00:00:00 - Rule #642: '<-(?ac$2$5' accepted
0:00:00:00 - Rule #643: '<-(?ac$2$6' accepted
0:00:00:00 - Rule #644: '<-(?ac$2$7' accepted
0:00:00:00 - Rule #645: '<-(?ac$2$8' accepted
0:00:00:00 - Oldest still in use is now rule #644
0:00:00:00 - Rule #646: '<-(?ac$2$9' accepted
0:00:00:00 - Rule #647: '<*(?al$A' accepted
0:00:00:00 - Rule #648: '<*(?al$B' accepted
0:00:00:00 - Rule #649: '<*(?al$C' accepted
0:00:00:00 - Rule #650: '<*(?al$D' accepted
0:00:00:00 - Rule #651: '<*(?al$E' accepted
0:00:00:00 - Rule #652: '<*(?al$F' accepted
0:00:00:00 - Rule #653: '<*(?al$G' accepted
0:00:00:00 - Rule #654: '<*(?al$H' accepted
0:00:00:00 - Rule #655: '<*(?al$I' accepted
0:00:00:00 - Rule #656: '<*(?al$J' accepted
0:00:00:00 - Rule #657: '<*(?al$K' accepted
0:00:00:00 - Rule #658: '<*(?al$L' accepted
0:00:00:00 - Rule #659: '<*(?al$M' accepted
0:00:00:00 - Rule #660: '<*(?al$N' accepted
0:00:00:00 - Rule #661: '<*(?al$O' accepted
0:00:00:00 - Rule #662: '<*(?al$P' accepted
0:00:00:00 - Rule #663: '<*(?al$Q' accepted
0:00:00:00 - Rule #664: '<*(?al$R' accepted
0:00:00:00 - Rule #665: '<*(?al$S' accepted
0:00:00:00 - Rule #666: '<*(?al$T' accepted
0:00:00:00 - Rule #667: '<*(?al$U' accepted
0:00:00:00 - Rule #668: '<*(?al$V' accepted
0:00:00:00 - Rule #669: '<*(?al$W' accepted
0:00:00:00 - Rule #670: '<*(?al$X' accepted
0:00:00:00 - Rule #671: '<*(?al$Y' accepted
0:00:00:00 - Rule #672: '<*(?al$Z' accepted
0:00:00:00 - Rule #673: '<*(?ac$A' accepted
0:00:00:00 - Rule #674: '<*(?ac$B' accepted
0:00:00:00 - Rule #675: '<*(?ac$C' accepted
0:00:00:00 - Rule #676: '<*(?ac$D' accepted
0:00:00:00 - Rule #677: '<*(?ac$E' accepted
0:00:00:00 - Oldest still in use is now rule #676
0:00:00:00 - Rule #678: '<*(?ac$F' accepted
0:00:00:00 - Rule #679: '<*(?ac$G' accepted
0:00:00:00 - Rule #680: '<*(?ac$H' accepted
0:00:00:00 - Rule #681: '<*(?ac$I' accepted
0:00:00:00 - Rule #682: '<*(?ac$J' accepted
0:00:00:00 - Rule #683: '<*(?ac$K' accepted
0:00:00:00 - Rule #684: '<*(?ac$L' accepted
0:00:00:00 - Rule #685: '<*(?ac$M' accepted
0:00:00:00 - Rule #686: '<*(?ac$N' accepted
0:00:00:00 - Rule #687: '<*(?ac$O' accepted
0:00:00:00 - Rule #688: '<*(?ac$P' accepted
0:00:00:00 - Rule #689: '<*(?ac$Q' accepted
0:00:00:00 - Rule #690: '<*(?ac$R' accepted
0:00:00:00 - Rule #691: '<*(?ac$S' accepted
0:00:00:00 - Rule #692: '<*(?ac$T' accepted
0:00:00:00 - Rule #693: '<*(?ac$U' accepted
0:00:00:00 - Rule #694: '<*(?ac$V' accepted
0:00:00:00 - Rule #695: '<*(?ac$W' accepted
0:00:00:00 - Rule #696: '<*(?ac$X' accepted
0:00:00:00 - Rule #697: '<*(?ac$Y' accepted
0:00:00:00 - Rule #698: '<*(?ac$Z' accepted
0:00:00:00 - Rule #699: 'u/IsIi' accepted
0:00:00:00 - Rule #700: 'CQ' accepted
0:00:00:00 - Rule #701: 'SQ' accepted
0:00:00:00 - Rule #702: '/?vVQ' accepted
0:00:00:00 - Rule #703: ':RQ' accepted as 'RQ'
0:00:00:00 - Rule #704: ':LQ' accepted as 'LQ'
0:00:00:00 - Rule #705: 'lQR' accepted
0:00:00:00 - Rule #706: 'lQL' accepted
0:00:00:00 - Rule #707: '(?acQR' accepted
0:00:00:00 - Rule #708: '(?acQL' accepted
0:00:00:00 - Rule #709: 'RRQ' accepted
0:00:00:00 - Oldest still in use is now rule #708
0:00:00:00 - Rule #710: 'LLQ' accepted
0:00:00:00 - Rule #711: '<-l^1$1' accepted
0:00:00:00 - Rule #712: '<-l^!$!' accepted
0:00:00:00 - Rule #713: '<-l^@$@' accepted
0:00:00:00 - Rule #714: '<-l^#$#' accepted
0:00:00:00 - Rule #715: '<-l^$$$' accepted
0:00:00:00 - Rule #716: '<-l^%$%' accepted
0:00:00:00 - Rule #717: '<-l^^$^' accepted
0:00:00:00 - Rule #718: '<-l^&$&' accepted
0:00:00:00 - Rule #719: '<-l^*$*' accepted
0:00:00:00 - Rule #720: '<-l^($)' accepted
0:00:00:00 - Rule #721: '<-l^-$-' accepted
0:00:00:00 - Rule #722: '<-l^=$=' accepted
0:00:00:00 - Rule #723: '<-l^_$_' accepted
0:00:00:00 - Rule #724: '<-l^+$+' accepted
0:00:00:00 - Rule #725: '<-l^.$.' accepted
0:00:00:00 - Rule #726: '<-l^?$?' accepted
0:00:00:00 - Rule #727: '<-l^{$}' accepted
0:00:00:00 - Rule #728: '<-l^[$]' accepted
0:00:00:00 - Rule #729: '<-l^<$>' accepted
0:00:00:00 - Oldest still in use is now rule #728
0:00:00:00 - Rule #730: '<-l^|$|' accepted
0:00:00:00 - Rule #731: '<-l^:$:' accepted
0:00:00:00 - Rule #732: '<-l^'$'' accepted
0:00:00:00 - Rule #733: '<-l^"$"' accepted
0:00:00:00 - Rule #734: '<-l$6$0' accepted
0:00:00:00 - Rule #735: '<-l$6$1' accepted
0:00:00:00 - Rule #736: '<-l$6$2' accepted
0:00:00:00 - Rule #737: '<-l$6$3' accepted
0:00:00:00 - Rule #738: '<-l$6$4' accepted
0:00:00:00 - Rule #739: '<-l$6$5' accepted
0:00:00:00 - Rule #740: '<-l$6$6' accepted
0:00:00:00 - Rule #741: '<-l$6$7' accepted
0:00:00:00 - Rule #742: '<-l$6$8' accepted
0:00:00:00 - Rule #743: '<-l$6$9' accepted
0:00:00:00 - Rule #744: '<-l$3$0' accepted
0:00:00:00 - Rule #745: '<-l$3$1' accepted
0:00:00:00 - Rule #746: '<-l$3$2' accepted
0:00:00:00 - Rule #747: '<-l$3$3' accepted
0:00:00:00 - Rule #748: '<-l$3$4' accepted
0:00:00:00 - Rule #749: '<-l$3$5' accepted
0:00:00:00 - Rule #750: '<-l$3$6' accepted
0:00:00:00 - Rule #751: '<-l$3$7' accepted
0:00:00:00 - Oldest still in use is now rule #750
0:00:00:00 - Rule #752: '<-l$3$8' accepted
0:00:00:00 - Rule #753: '<-l$3$9' accepted
0:00:00:00 - Rule #754: '<-l$4$0' accepted
0:00:00:00 - Rule #755: '<-l$4$1' accepted
0:00:00:00 - Rule #756: '<-l$4$2' accepted
0:00:00:00 - Rule #757: '<-l$4$3' accepted
0:00:00:00 - Rule #758: '<-l$4$4' accepted
0:00:00:00 - Rule #759: '<-l$4$5' accepted
0:00:00:00 - Rule #760: '<-l$4$6' accepted
0:00:00:00 - Rule #761: '<-l$4$7' accepted
0:00:00:00 - Rule #762: '<-l$4$8' accepted
0:00:00:00 - Rule #763: '<-l$4$9' accepted
0:00:00:00 - Rule #764: '<-l$5$0' accepted
0:00:00:00 - Rule #765: '<-l$5$1' accepted
0:00:00:00 - Rule #766: '<-l$5$2' accepted
0:00:00:00 - Rule #767: '<-l$5$3' accepted
0:00:00:00 - Rule #768: '<-l$5$4' accepted
0:00:00:00 - Rule #769: '<-l$5$5' accepted
0:00:00:00 - Rule #770: '<-l$5$6' accepted
0:00:00:00 - Rule #771: '<-l$5$7' accepted
0:00:00:00 - Rule #772: '<-l$5$8' accepted
0:00:00:00 - Oldest still in use is now rule #771
0:00:00:00 - Rule #773: '<-l$5$9' accepted
0:00:00:00 - Rule #774: '<-(?ac$6$0' accepted
0:00:00:00 - Rule #775: '<-(?ac$6$1' accepted
0:00:00:00 - Rule #776: '<-(?ac$6$2' accepted
0:00:00:00 - Rule #777: '<-(?ac$6$3' accepted
0:00:00:00 - Rule #778: '<-(?ac$6$4' accepted
0:00:00:00 - Rule #779: '<-(?ac$6$5' accepted
0:00:00:00 - Rule #780: '<-(?ac$6$6' accepted
0:00:00:00 - Rule #781: '<-(?ac$6$7' accepted
0:00:00:00 - Rule #782: '<-(?ac$6$8' accepted
0:00:00:00 - Rule #783: '<-(?ac$6$9' accepted
0:00:00:00 - Rule #784: '<-(?ac$3$0' accepted
0:00:00:00 - Rule #785: '<-(?ac$3$1' accepted
0:00:00:00 - Rule #786: '<-(?ac$3$2' accepted
0:00:00:00 - Rule #787: '<-(?ac$3$3' accepted
0:00:00:00 - Rule #788: '<-(?ac$3$4' accepted
0:00:00:00 - Rule #789: '<-(?ac$3$5' accepted
0:00:00:00 - Rule #790: '<-(?ac$3$6' accepted
0:00:00:00 - Rule #791: '<-(?ac$3$7' accepted
0:00:00:00 - Rule #792: '<-(?ac$3$8' accepted
0:00:00:00 - Rule #793: '<-(?ac$3$9' accepted
0:00:00:00 - Rule #794: '<-(?ac$4$0' accepted
0:00:00:00 - Rule #795: '<-(?ac$4$1' accepted
0:00:00:00 - Rule #796: '<-(?ac$4$2' accepted
0:00:00:00 - Rule #797: '<-(?ac$4$3' accepted
0:00:00:00 - Rule #798: '<-(?ac$4$4' accepted
0:00:00:00 - Rule #799: '<-(?ac$4$5' accepted
0:00:00:00 - Rule #800: '<-(?ac$4$6' accepted
0:00:00:00 - Rule #801: '<-(?ac$4$7' accepted
0:00:00:00 - Rule #802: '<-(?ac$4$8' accepted
0:00:00:00 - Rule #803: '<-(?ac$4$9' accepted
0:00:00:00 - Oldest still in use is now rule #802
0:00:00:00 - Rule #804: '<-(?ac$5$0' accepted
0:00:00:00 - Rule #805: '<-(?ac$5$1' accepted
0:00:00:00 - Rule #806: '<-(?ac$5$2' accepted
0:00:00:00 - Rule #807: '<-(?ac$5$3' accepted
0:00:00:00 - Rule #808: '<-(?ac$5$4' accepted
0:00:00:00 - Rule #809: '<-(?ac$5$5' accepted
0:00:00:00 - Rule #810: '<-(?ac$5$6' accepted
0:00:00:00 - Rule #811: '<-(?ac$5$7' accepted
0:00:00:00 - Rule #812: '<-(?ac$5$8' accepted
0:00:00:00 - Rule #813: '<-(?ac$5$9' accepted
0:00:00:00 - Rule #814: '(?al$0<-$0$7' accepted
0:00:00:00 - Rule #815: '(?ac$0<-$0$7' accepted
0:00:00:00 - Rule #816: '(?al$1<-$1$1' accepted
0:00:00:00 - Rule #817: '(?ac$1<-$1$1' accepted
0:00:00:00 - Rule #818: '(?al$1<-$2$3' accepted
0:00:00:00 - Rule #819: '(?ac$1<-$2$3' accepted
0:00:00:00 - Rule #820: '(?al$2<-$2$2' accepted
0:00:00:00 - Rule #821: '(?ac$2<-$2$2' accepted
0:00:00:00 - Rule #822: '(?al$3<-$3$3' accepted
0:00:00:00 - Rule #823: '(?ac$3<-$3$3' accepted
0:00:00:00 - Rule #824: '(?al$4<-$4$4' accepted
0:00:00:00 - Rule #825: '(?ac$4<-$4$4' accepted
0:00:00:00 - Rule #826: '(?al$5<-$5$5' accepted
0:00:00:00 - Rule #827: '(?ac$5<-$5$5' accepted
0:00:00:00 - Rule #828: '(?al$6<-$6$6' accepted
0:00:00:00 - Rule #829: '(?ac$6<-$6$6' accepted
0:00:00:00 - Rule #830: '(?al$7<-$7$7' accepted
0:00:00:00 - Rule #831: '(?ac$7<-$7$7' accepted
0:00:00:00 - Rule #832: '(?al$8<-$8$8' accepted
0:00:00:00 - Rule #833: '(?ac$8<-$8$8' accepted
0:00:00:00 - Rule #834: '(?al$9<-$9$9' accepted
0:00:00:00 - Rule #835: '(?ac$9<-$9$9' accepted
0:00:00:00 - Rule #836: 'l$1<-$9$7>-' accepted
0:00:00:00 - Rule #837: 'l$1<-$9$8>-' accepted
0:00:00:00 - Rule #838: 'l$1<-$9$9>-' accepted
0:00:00:00 - Rule #839: 'l$1<-$9$6>-' accepted
0:00:00:00 - Rule #840: 'l$1<-$9$5>-' accepted
0:00:00:00 - Rule #841: 'l$1<-$9$4>-' accepted
0:00:00:00 - Rule #842: 'l$1<-$9$3>-' accepted
0:00:00:00 - Rule #843: 'l$1<-$9$2>-' accepted
0:00:00:00 - Rule #844: 'l$1<-$9$1>-' accepted
0:00:00:00 - Rule #845: 'l$1<-$9$0>-' accepted
0:00:00:00 - Rule #846: 'l$2<-$0$0>-' accepted
0:00:00:00 - Oldest still in use is now rule #845
0:00:00:00 - Rule #847: 'l$1$9<-$7$0' accepted
0:00:00:00 - Rule #848: 'l$1$9<-$7$1' accepted
0:00:00:00 - Rule #849: 'l$1$9<-$7$2' accepted
0:00:00:00 - Rule #850: 'l$1$9<-$7$3' accepted
0:00:00:00 - Rule #851: 'l$1$9<-$7$4' accepted
0:00:00:00 - Rule #852: 'l$1$9<-$7$5' accepted
0:00:00:00 - Rule #853: 'l$1$9<-$7$6' accepted
0:00:00:00 - Rule #854: 'l$1$9<-$7$7' accepted
0:00:00:00 - Rule #855: 'l$1$9<-$7$8' accepted
0:00:00:00 - Rule #856: 'l$1$9<-$7$9' accepted
0:00:00:00 - Rule #857: 'l$1$9<-$8$0' accepted
0:00:00:00 - Rule #858: 'l$1$9<-$8$1' accepted
0:00:00:00 - Rule #859: 'l$1$9<-$8$2' accepted
0:00:00:00 - Rule #860: 'l$1$9<-$8$3' accepted
0:00:00:00 - Rule #861: 'l$1$9<-$8$4' accepted
0:00:00:00 - Rule #862: 'l$1$9<-$8$5' accepted
0:00:00:00 - Rule #863: 'l$1$9<-$8$6' accepted
0:00:00:00 - Rule #864: 'l$1$9<-$8$7' accepted
0:00:00:00 - Rule #865: 'l$1$9<-$8$8' accepted
0:00:00:00 - Rule #866: 'l$1$9<-$8$9' accepted
0:00:00:00 - Rule #867: 'l$1$9<-$9$0' accepted
0:00:00:00 - Rule #868: 'l$1$9<-$9$1' accepted
0:00:00:00 - Rule #869: 'l$1$9<-$9$2' accepted
0:00:00:00 - Rule #870: 'l$1$9<-$9$3' accepted
0:00:00:00 - Rule #871: 'l$1$9<-$9$4' accepted
0:00:00:00 - Rule #872: 'l$1$9<-$9$5' accepted
0:00:00:00 - Rule #873: 'l$1$9<-$9$6' accepted
0:00:00:00 - Rule #874: 'l$1$9<-$9$7' accepted
0:00:00:00 - Rule #875: 'l$1$9<-$9$8' accepted
0:00:00:00 - Rule #876: 'l$1$9<-$9$9' accepted
0:00:00:00 - Rule #877: 'l$2$0<-$0$0' accepted
0:00:00:00 - Rule #878: 'l$2$0<-$0$1' accepted
0:00:00:00 - Rule #879: 'l$2$0<-$0$2' accepted
0:00:00:00 - Rule #880: 'l$2$0<-$0$3' accepted
0:00:00:00 - Rule #881: 'l$2$0<-$0$4' accepted
0:00:00:00 - Rule #882: 'l$2$0<-$0$5' accepted
0:00:00:00 - Rule #883: 'l$2$0<-$0$6' accepted
0:00:00:00 - Rule #884: 'l$2$0<-$0$7' accepted
0:00:00:00 - Rule #885: 'l$2$0<-$0$8' accepted
0:00:00:00 - Rule #886: 'l$2$0<-$0$9' accepted
0:00:00:00 - Rule #887: 'l$1$9<-$6$9' accepted
0:00:00:00 - Rule #888: 'l$1$9<-$6$8' accepted
0:00:00:00 - Rule #889: 'l$1$9<-$6$7' accepted
0:00:00:00 - Rule #890: 'l$1$9<-$6$6' accepted
0:00:00:00 - Rule #891: 'l$1$9<-$6$5' accepted
0:00:00:00 - Rule #892: 'l$1$9<-$6$4' accepted
0:00:00:00 - Rule #893: 'l$1$9<-$6$3' accepted
0:00:00:00 - Rule #894: 'l$1$9<-$6$2' accepted
0:00:00:00 - Rule #895: 'l$1$9<-$6$1' accepted
0:00:00:00 - Rule #896: 'l$1$9<-$6$0' accepted
0:00:00:00 - Rule #897: 'l$1$9<-$5$9' accepted
0:00:00:00 - Rule #898: 'l$1$9<-$5$8' accepted
0:00:00:00 - Rule #899: 'l$1$9<-$5$7' accepted
0:00:00:00 - Rule #900: 'l$1$9<-$5$6' accepted
0:00:00:00 - Rule #901: 'l$1$9<-$5$5' accepted
0:00:00:00 - Rule #902: 'l$1$9<-$5$4' accepted
0:00:00:00 - Rule #903: 'l$1$9<-$5$3' accepted
0:00:00:00 - Rule #904: 'l$1$9<-$5$2' accepted
0:00:00:00 - Rule #905: 'l$1$9<-$5$1' accepted
0:00:00:00 - Rule #906: 'l$1$9<-$5$0' accepted
